Seconds,Difference
204,0.351892541841
204,1.56310134227
204,13.1507501196
204,13.7898161089
204,17.9591583085
204,2.78137996272
204,21.3996923784
204,23.3440219822
204,29.8967562962
204,3.27405540744
204,37.4190142855
204,6.6133613078
204,6.6643934091
204,63.4136594392
204,0.181056061087
204,0.748999889014
204,1.29787000594
204,29.2156880509
204,37.2326376433
204,6.67309325446
204,8.6449532359
511,0.114152932897
511,0.181234512031
511,1.20456808311
511,1.67601853959
511,10.4923455907
511,10.9806706386
511,2.63686765764
511,4.56812888141
511,5.14980010742
511,7.10411634952
511,9.57163693047
511,9.73725237014
511,0.750383430722
511,0.949899916607
511,1.62061415761
511,1.67924198551
511,1.76746152607
511,11.7870164683
511,2.23883102937
511,2.71634071736
511,4.61389360042
1023,0.434694838855
1023,1.67459224256
1023,2.14593921869
1023,0.00261663026175
1023,0.1869885642
1023,0.38505055739
1023,0.756467930336
1023,1.49579107395
1023,1.69971558795
1023,1.79759732062
1023,1.8203333301
1023,1.85865135081
1023,1.9438910941
1023,10.4885008375
1023,3.10905258867
1023,3.36440405236
1023,3.41344856006
1023,3.5769370265
1023,3.58970605056
1023,4.57982008867
1023,5.50805887814
2047,0.399773826859
2047,1.10923501306
2047,1.11319305999
2047,1.31702848262
2047,3.6932378028
2047,0.0249284814713
2047,0.191951373089
2047,0.245902689196
2047,0.323658929668
2047,0.80796433211
2047,0.965113883666
2047,1.35428743619
2047,1.35602431448
2047,1.43604938564
2047,1.5141879759
2047,1.69187907384
2047,1.80319904498
2047,2.26750062657
2047,2.58084278734
2047,3.30504841322
2047,3.64773376414
3070,0.257825808699
3070,0.669082758083
3070,1.08342099827
3070,3.59178347916
3070,0.0771219368899
3070,0.0870202378802
3070,0.256686380108
3070,0.273512399042
3070,0.590952644484
3070,0.635866203857
3070,0.690241402419
3070,0.853683589755
3070,0.862369406927
3070,0.898881674602
3070,1.14336582171
3070,1.39440888302
3070,1.60583997541
3070,1.70155291721
3070,1.87239807112
3070,2.4164964401
3070,2.41655049958
4094,0.292474756843
4094,0.292968053615
4094,0.677780706304
4094,1.39260469142
4094,2.02321180352
4094,0.108762282698
4094,0.121921388848
4094,0.192449908195
4094,0.449939853307
4094,0.459116846081
4094,0.513295003426
4094,0.60064005249
4094,0.610605936839
4094,0.632458731814
4094,0.643860122467
4094,0.699274945038
4094,1.21645072442
4094,1.22677475424
4094,1.59114377568
4094,1.60441944497
4094,2.09402084646
5117,0.0752653079538
5117,0.173173887257
5117,0.201871538589
5117,0.246241107185
5117,0.446646739958
5117,0.50159344435
5117,0.970909754969
5117,0.981274436183
5117,1.02367290823
5117,1.40315382608
5117,2.16046840377
5117,0.0435700260019
5117,0.283884859471
5117,0.509518395301
5117,0.710254966479
5117,0.817772027376
5117,0.835749409681
5117,1.01487650715
5117,1.07438545668
5117,1.64226596984
5117,1.95051301263
